logfc	mating
-0.861057555	ov_2Efem_x_Emale
-0.856520441	ov_2Efem_x_Emale
-0.823540371	ov_2Efem_x_Emale
-0.81309926	ov_2Efem_x_Emale
-0.782289896	ov_2Efem_x_Emale
-0.779951488	ov_2Efem_x_Emale
-0.779771935	ov_2Efem_x_Emale
-0.762992567	ov_2Efem_x_Emale
-0.757678324	ov_2Efem_x_Emale
-0.734513023	ov_2Efem_x_Emale
-0.729451203	ov_2Efem_x_Emale
-0.728972421	ov_2Efem_x_Emale
-0.728152104	ov_2Efem_x_Emale
-0.725766664	ov_2Efem_x_Emale
-0.725709894	ov_2Efem_x_Emale
-0.716891541	ov_2Efem_x_Emale
-0.706819387	ov_2Efem_x_Emale
-0.705341731	ov_2Efem_x_Emale
-0.70184902	ov_2Efem_x_Emale
-0.700454649	ov_2Efem_x_Emale
-0.693818538	ov_2Efem_x_Emale
-0.687410146	ov_2Efem_x_Emale
-0.677391432	ov_2Efem_x_Emale
-0.668275176	ov_2Efem_x_Emale
-0.667894663	ov_2Efem_x_Emale
-0.661119855	ov_2Efem_x_Emale
-0.639530458	ov_2Efem_x_Emale
-0.62926451	ov_2Efem_x_Emale
-0.629047583	ov_2Efem_x_Emale
-0.628794023	ov_2Efem_x_Emale
-0.627400444	ov_2Efem_x_Emale
-0.624252952	ov_2Efem_x_Emale
-0.610881242	ov_2Efem_x_Emale
-0.608713423	ov_2Efem_x_Emale
-0.604599736	ov_2Efem_x_Emale
-0.60254996	ov_2Efem_x_Emale
-0.597855034	ov_2Efem_x_Emale
-0.593078964	ov_2Efem_x_Emale
-0.592772938	ov_2Efem_x_Emale
-0.59223511	ov_2Efem_x_Emale
-0.592095485	ov_2Efem_x_Emale
-0.591483831	ov_2Efem_x_Emale
-0.591027377	ov_2Efem_x_Emale
-0.588041167	ov_2Efem_x_Emale
-0.584860538	ov_2Efem_x_Emale
-0.580877112	ov_2Efem_x_Emale
-0.577279724	ov_2Efem_x_Emale
-0.574657015	ov_2Efem_x_Emale
-0.569746562	ov_2Efem_x_Emale
-0.567972342	ov_2Efem_x_Emale
-0.55780183	ov_2Efem_x_Emale
-0.545980739	ov_2Efem_x_Emale
-0.54469087	ov_2Efem_x_Emale
-0.535179968	ov_2Efem_x_Emale
-0.534016072	ov_2Efem_x_Emale
-0.534007749	ov_2Efem_x_Emale
-0.524394547	ov_2Efem_x_Emale
-0.522717073	ov_2Efem_x_Emale
-0.521982085	ov_2Efem_x_Emale
-0.51056196	ov_2Efem_x_Emale
-0.499509472	ov_2Efem_x_Emale
-0.487158642	ov_2Efem_x_Emale
-0.485362515	ov_2Efem_x_Emale
-0.483669609	ov_2Efem_x_Emale
0.44938135	ov_1Mfem_x_Emale
0.454127659	ov_1Mfem_x_Emale
0.454983607	ov_1Mfem_x_Emale
0.455503923	ov_1Mfem_x_Emale
0.458842056	ov_1Mfem_x_Emale
0.459525394	ov_1Mfem_x_Emale
0.464583335	ov_1Mfem_x_Emale
0.47492004	ov_1Mfem_x_Emale
0.475615408	ov_1Mfem_x_Emale
0.475670108	ov_1Mfem_x_Emale
0.477799166	ov_1Mfem_x_Emale
0.480867697	ov_1Mfem_x_Emale
0.481558366	ov_1Mfem_x_Emale
0.484112486	ov_1Mfem_x_Emale
0.487346369	ov_1Mfem_x_Emale
0.487803257	ov_1Mfem_x_Emale
0.489122115	ov_1Mfem_x_Emale
0.492679779	ov_1Mfem_x_Emale
0.494235643	ov_1Mfem_x_Emale
0.496106851	ov_1Mfem_x_Emale
0.496871291	ov_1Mfem_x_Emale
0.499929074	ov_1Mfem_x_Emale
0.500989444	ov_1Mfem_x_Emale
0.501378225	ov_1Mfem_x_Emale
0.506806002	ov_1Mfem_x_Emale
0.508461374	ov_1Mfem_x_Emale
0.509358386	ov_1Mfem_x_Emale
0.510816419	ov_1Mfem_x_Emale
0.510960248	ov_1Mfem_x_Emale
0.512418202	ov_1Mfem_x_Emale
0.513601245	ov_1Mfem_x_Emale
0.515459023	ov_1Mfem_x_Emale
0.517442041	ov_1Mfem_x_Emale
0.517808105	ov_1Mfem_x_Emale
0.518501742	ov_1Mfem_x_Emale
0.52190544	ov_1Mfem_x_Emale
0.524499748	ov_1Mfem_x_Emale
0.526446202	ov_1Mfem_x_Emale
0.530859561	ov_1Mfem_x_Emale
0.531911569	ov_1Mfem_x_Emale
0.532582133	ov_1Mfem_x_Emale
0.537970621	ov_1Mfem_x_Emale
0.538609361	ov_1Mfem_x_Emale
0.539980571	ov_1Mfem_x_Emale
0.542874064	ov_1Mfem_x_Emale
0.545234697	ov_1Mfem_x_Emale
0.545591331	ov_1Mfem_x_Emale
0.546530934	ov_1Mfem_x_Emale
0.547133957	ov_1Mfem_x_Emale
0.549813239	ov_1Mfem_x_Emale
0.552152684	ov_1Mfem_x_Emale
0.55346334	ov_1Mfem_x_Emale
0.553519366	ov_1Mfem_x_Emale
0.55472889	ov_1Mfem_x_Emale
0.557990491	ov_1Mfem_x_Emale
0.558496537	ov_1Mfem_x_Emale
0.560245415	ov_1Mfem_x_Emale
0.567120213	ov_1Mfem_x_Emale
0.567508143	ov_1Mfem_x_Emale
0.569479555	ov_1Mfem_x_Emale
0.570595013	ov_1Mfem_x_Emale
0.572462789	ov_1Mfem_x_Emale
0.574963777	ov_1Mfem_x_Emale
0.588162005	ov_1Mfem_x_Emale
0.589276903	ov_1Mfem_x_Emale
0.591008615	ov_1Mfem_x_Emale
0.592017115	ov_1Mfem_x_Emale
0.593302109	ov_1Mfem_x_Emale
0.594333685	ov_1Mfem_x_Emale
0.595214112	ov_1Mfem_x_Emale
0.599634928	ov_1Mfem_x_Emale
0.602316774	ov_1Mfem_x_Emale
0.604667697	ov_1Mfem_x_Emale
0.609175037	ov_1Mfem_x_Emale
0.612456762	ov_1Mfem_x_Emale
0.612757624	ov_1Mfem_x_Emale
0.614254532	ov_1Mfem_x_Emale
0.618729278	ov_1Mfem_x_Emale
0.619151622	ov_1Mfem_x_Emale
0.619436895	ov_1Mfem_x_Emale
0.620161222	ov_1Mfem_x_Emale
0.621344813	ov_1Mfem_x_Emale
0.622087061	ov_1Mfem_x_Emale
0.627420573	ov_1Mfem_x_Emale
0.627844758	ov_1Mfem_x_Emale
0.640305797	ov_1Mfem_x_Emale
0.641435205	ov_1Mfem_x_Emale
0.645692417	ov_1Mfem_x_Emale
0.646211077	ov_1Mfem_x_Emale
0.647823635	ov_1Mfem_x_Emale
0.648485511	ov_1Mfem_x_Emale
0.651213908	ov_1Mfem_x_Emale
0.660095311	ov_1Mfem_x_Emale
0.662726013	ov_1Mfem_x_Emale
0.66544429	ov_1Mfem_x_Emale
0.666038332	ov_1Mfem_x_Emale
0.67911735	ov_1Mfem_x_Emale
0.679480043	ov_1Mfem_x_Emale
0.679764149	ov_1Mfem_x_Emale
0.680992197	ov_1Mfem_x_Emale
0.681391839	ov_1Mfem_x_Emale
0.684620931	ov_1Mfem_x_Emale
0.685487545	ov_1Mfem_x_Emale
0.685818528	ov_1Mfem_x_Emale
0.687020211	ov_1Mfem_x_Emale
0.698238634	ov_1Mfem_x_Emale
0.698425091	ov_1Mfem_x_Emale
0.699362079	ov_1Mfem_x_Emale
0.699408323	ov_1Mfem_x_Emale
0.70487304	ov_1Mfem_x_Emale
0.705711776	ov_1Mfem_x_Emale
0.708374442	ov_1Mfem_x_Emale
0.708968633	ov_1Mfem_x_Emale
0.71011446	ov_1Mfem_x_Emale
0.711975114	ov_1Mfem_x_Emale
0.723535268	ov_1Mfem_x_Emale
0.729113904	ov_1Mfem_x_Emale
0.734527876	ov_1Mfem_x_Emale
0.736752311	ov_1Mfem_x_Emale
0.737696413	ov_1Mfem_x_Emale
0.742699206	ov_1Mfem_x_Emale
0.743624035	ov_1Mfem_x_Emale
0.757498534	ov_1Mfem_x_Emale
0.762508708	ov_1Mfem_x_Emale
0.769847185	ov_1Mfem_x_Emale
0.777149863	ov_1Mfem_x_Emale
0.777352042	ov_1Mfem_x_Emale
0.780406391	ov_1Mfem_x_Emale
0.788243848	ov_1Mfem_x_Emale
0.788866627	ov_1Mfem_x_Emale
0.789477683	ov_1Mfem_x_Emale
0.79834793	ov_1Mfem_x_Emale
0.845548786	ov_1Mfem_x_Emale
0.861430491	ov_1Mfem_x_Emale
0.909981959	ov_1Mfem_x_Emale
0.914146917	ov_1Mfem_x_Emale
0.9144761	ov_1Mfem_x_Emale
0.916446354	ov_1Mfem_x_Emale
0.926971735	ov_1Mfem_x_Emale
0.945734353	ov_1Mfem_x_Emale
0.950446138	ov_1Mfem_x_Emale
0.962446907	ov_1Mfem_x_Emale
0.979656849	ov_1Mfem_x_Emale
0.988380207	ov_1Mfem_x_Emale
1.012075475	ov_1Mfem_x_Emale
1.038250289	ov_1Mfem_x_Emale
1.038296067	ov_1Mfem_x_Emale
1.060750091	ov_1Mfem_x_Emale
1.066632953	ov_1Mfem_x_Emale
1.073524876	ov_1Mfem_x_Emale
1.084912032	ov_1Mfem_x_Emale
1.11239892	ov_1Mfem_x_Emale
1.113104832	ov_1Mfem_x_Emale
1.125381368	ov_1Mfem_x_Emale
1.136845392	ov_1Mfem_x_Emale
1.153154755	ov_1Mfem_x_Emale
1.184300805	ov_1Mfem_x_Emale
1.274891019	ov_1Mfem_x_Emale
1.294071782	ov_1Mfem_x_Emale
1.338992056	ov_1Mfem_x_Emale
1.346809095	ov_1Mfem_x_Emale
1.365200642	ov_1Mfem_x_Emale
1.398809091	ov_1Mfem_x_Emale
1.449786151	ov_1Mfem_x_Emale
1.466144643	ov_1Mfem_x_Emale
1.469194413	ov_1Mfem_x_Emale
1.556374783	ov_1Mfem_x_Emale
1.623901507	ov_1Mfem_x_Emale
1.686742706	ov_1Mfem_x_Emale
1.698913229	ov_1Mfem_x_Emale
1.7161628	ov_1Mfem_x_Emale
1.737462734	ov_1Mfem_x_Emale
1.749781062	ov_1Mfem_x_Emale
1.761641526	ov_1Mfem_x_Emale
1.793031551	ov_1Mfem_x_Emale
1.843328964	ov_1Mfem_x_Emale
1.902339189	ov_1Mfem_x_Emale
1.905756927	ov_1Mfem_x_Emale
1.940403485	ov_1Mfem_x_Emale
1.943748965	ov_1Mfem_x_Emale
2.019262721	ov_1Mfem_x_Emale
2.102172558	ov_1Mfem_x_Emale
2.131559449	ov_1Mfem_x_Emale
2.199745	ov_1Mfem_x_Emale
2.205832757	ov_1Mfem_x_Emale
2.268514215	ov_1Mfem_x_Emale
2.333733913	ov_1Mfem_x_Emale
2.417328831	ov_1Mfem_x_Emale
2.581221416	ov_1Mfem_x_Emale
2.607900723	ov_1Mfem_x_Emale
2.902351716	ov_1Mfem_x_Emale
2.933310643	ov_1Mfem_x_Emale
3.364502164	ov_1Mfem_x_Emale
3.50109965	ov_1Mfem_x_Emale
3.602523146	ov_1Mfem_x_Emale
3.651110262	ov_1Mfem_x_Emale
-4.54780218	rt_1Mfem_x_Emale
-4.510252745	rt_1Mfem_x_Emale
-4.488093125	rt_1Mfem_x_Emale
-4.449587271	rt_1Mfem_x_Emale
-4.332372902	rt_1Mfem_x_Emale
-4.301634929	rt_1Mfem_x_Emale
-4.086728954	rt_1Mfem_x_Emale
-3.99912933	rt_1Mfem_x_Emale
-3.92426713	rt_1Mfem_x_Emale
-3.867316114	rt_1Mfem_x_Emale
-3.781026483	rt_1Mfem_x_Emale
-3.627899045	rt_1Mfem_x_Emale
-3.348938567	rt_1Mfem_x_Emale
-3.261324035	rt_1Mfem_x_Emale
-3.251499031	rt_1Mfem_x_Emale
-3.180795977	rt_1Mfem_x_Emale
-3.114396447	rt_1Mfem_x_Emale
-2.821374389	rt_1Mfem_x_Emale
-2.784892809	rt_1Mfem_x_Emale
-2.772008479	rt_1Mfem_x_Emale
-2.222656848	rt_1Mfem_x_Emale
-2.218730375	rt_1Mfem_x_Emale
-2.211127099	rt_1Mfem_x_Emale
-2.165707912	rt_1Mfem_x_Emale
-2.052063653	rt_1Mfem_x_Emale
-2.027444163	rt_1Mfem_x_Emale
-2.003362953	rt_1Mfem_x_Emale
-1.860011253	rt_1Mfem_x_Emale
-1.83979219	rt_1Mfem_x_Emale
-1.817147419	rt_1Mfem_x_Emale
-1.281115877	rt_1Mfem_x_Emale
1.328234314	rt_2Efem_x_Emale
1.496144342	rt_2Efem_x_Emale
1.62496933	rt_2Efem_x_Emale
1.711232794	rt_2Efem_x_Emale
1.737600684	rt_2Efem_x_Emale
1.772078448	rt_2Efem_x_Emale
1.812063458	rt_2Efem_x_Emale
1.817701038	rt_2Efem_x_Emale
1.905393265	rt_2Efem_x_Emale
1.940358256	rt_2Efem_x_Emale
1.969424236	rt_2Efem_x_Emale
2.178024921	rt_2Efem_x_Emale
2.274222323	rt_2Efem_x_Emale
2.395487391	rt_2Efem_x_Emale
2.45160807	rt_2Efem_x_Emale
2.548876709	rt_2Efem_x_Emale
2.589741488	rt_2Efem_x_Emale
2.683122951	rt_2Efem_x_Emale
2.786247326	rt_2Efem_x_Emale
2.894973554	rt_2Efem_x_Emale
2.991865426	rt_2Efem_x_Emale
3.001687666	rt_2Efem_x_Emale
3.162784352	rt_2Efem_x_Emale
3.330292991	rt_2Efem_x_Emale
3.486485701	rt_2Efem_x_Emale
3.564456461	rt_2Efem_x_Emale
4.05893423	rt_2Efem_x_Emale
-4.342382444	rt_3Efem_x_Mmale
-4.27977947	rt_3Efem_x_Mmale
-4.254934628	rt_3Efem_x_Mmale
-4.104403067	rt_3Efem_x_Mmale
-4.020154471	rt_3Efem_x_Mmale
-3.927602059	rt_3Efem_x_Mmale
-3.37978742	rt_3Efem_x_Mmale
-3.352483228	rt_3Efem_x_Mmale
-3.324433038	rt_3Efem_x_Mmale
-3.241106242	rt_3Efem_x_Mmale
-2.974488539	rt_3Efem_x_Mmale
-2.962040752	rt_3Efem_x_Mmale
-2.946502475	rt_3Efem_x_Mmale
-2.836320607	rt_3Efem_x_Mmale
-2.774580354	rt_3Efem_x_Mmale
-2.746519516	rt_3Efem_x_Mmale
-2.744926801	rt_3Efem_x_Mmale
-2.699771269	rt_3Efem_x_Mmale
-2.689510529	rt_3Efem_x_Mmale
-2.651836799	rt_3Efem_x_Mmale
-2.650710923	rt_3Efem_x_Mmale
-2.602707351	rt_3Efem_x_Mmale
-2.593927688	rt_3Efem_x_Mmale
-2.570098503	rt_3Efem_x_Mmale
-2.569522599	rt_3Efem_x_Mmale
-2.559870154	rt_3Efem_x_Mmale
-2.553075459	rt_3Efem_x_Mmale
-2.539279109	rt_3Efem_x_Mmale
-2.522332484	rt_3Efem_x_Mmale
-2.508231885	rt_3Efem_x_Mmale
-2.490199301	rt_3Efem_x_Mmale
-2.486602076	rt_3Efem_x_Mmale
-2.45769368	rt_3Efem_x_Mmale
-2.436393445	rt_3Efem_x_Mmale
-2.407449512	rt_3Efem_x_Mmale
-2.403362738	rt_3Efem_x_Mmale
-2.39854318	rt_3Efem_x_Mmale
-2.396029902	rt_3Efem_x_Mmale
-2.390983944	rt_3Efem_x_Mmale
-2.382291772	rt_3Efem_x_Mmale
-2.371698174	rt_3Efem_x_Mmale
-2.368052664	rt_3Efem_x_Mmale
-2.363985469	rt_3Efem_x_Mmale
-2.357374747	rt_3Efem_x_Mmale
-2.351816926	rt_3Efem_x_Mmale
