logfc	females
0.719636795	ov_E_virgin
0.751944809	ov_E_virgin
0.762150998	ov_E_virgin
0.765482495	ov_E_virgin
0.866443486	ov_E_virgin
0.879452532	ov_E_virgin
0.887547542	ov_E_virgin
0.888323391	ov_E_virgin
0.904124682	ov_E_virgin
0.915090037	ov_E_virgin
0.949076663	ov_E_virgin
0.969288665	ov_E_virgin
1.022300319	ov_E_virgin
1.062495812	ov_E_virgin
1.068779499	ov_E_virgin
1.09583632	ov_E_virgin
1.103527532	ov_E_virgin
1.13776894	ov_E_virgin
1.138423479	ov_E_virgin
1.147954279	ov_E_virgin
1.25505108	ov_E_virgin
1.328474014	ov_E_virgin
1.361056922	ov_E_virgin
1.41491632	ov_E_virgin
1.494599131	ov_E_virgin
1.513117322	ov_E_virgin
1.527224318	ov_E_virgin
1.582249482	ov_E_virgin
1.666480852	ov_E_virgin
1.721253418	ov_E_virgin
1.759403823	ov_E_virgin
1.781750083	ov_E_virgin
1.789157988	ov_E_virgin
1.890811537	ov_E_virgin
1.996814946	ov_E_virgin
2.064341581	ov_E_virgin
2.109343557	ov_E_virgin
2.209225165	ov_E_virgin
2.248179474	ov_E_virgin
2.449378012	ov_E_virgin
2.571440447	ov_E_virgin
2.587288461	ov_E_virgin
2.641620865	ov_E_virgin
2.656408919	ov_E_virgin
2.833484621	ov_E_virgin
2.929072512	ov_E_virgin
2.992980566	ov_E_virgin
3.104342017	ov_E_virgin
3.654713489	ov_E_virgin
4.73817354	ov_E_virgin
